,precision,recall,f1-score,support
v10_add_eo_prefix,0.16666666666666666,1.0,0.2857142857142857,1.0
v12_simplify_cities_only,0.0,0.0,0.0,1.0
v14_add_greece_suffix,0.043478260869565216,0.058823529411764705,0.05,17.0
v15_add_highway_context,0.2,0.3,0.24,10.0
v16_english_translation,0.0,0.0,0.0,3.0
v1_original,0.7213114754098361,0.3188405797101449,0.44221105527638194,138.0
v2_remove_prefix,0.08,0.25,0.12121212121212122,8.0
v3_normalize_km,0.05555555555555555,0.07142857142857142,0.0625,14.0
v4_remove_punct_v1,0.0,0.0,0.0,1.0
v6_remove_dots,0.07142857142857142,0.2857142857142857,0.11428571428571428,7.0
v8_combined_basic,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
accuracy,0.270935960591133,0.270935960591133,0.270935960591133,0.270935960591133
macro avg,0.131777421912846,0.23801275450891818,0.13478089483228817,203.0
weighted avg,0.5157531616705309,0.27093596059113295,0.33352481223424607,203.0
