Station_ID,Address,Latitude,Longitude,Location_Type,ddName,Municipality,County,Marker_Color,Marker_Size,Description
11,6ο ΧΙΛ. Ε.Ο. ΑΓΡΙΝΙΟΥ-ΙΩΑΝΝΙΝΩΝ,38.6705047,21.3466711,ROOFTOP,Δ.Δ.Μαχαιρά,ΔΗΜΟΣ ΑΣΤΑΚΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 11
Location Type: ROOFTOP
Address: 6ο ΧΙΛ. Ε.Ο. ΑΓΡΙΝΙΟΥ-ΙΩΑΝΝΙΝΩΝ
Municipality: ΔΗΜΟΣ ΑΣΤΑΚΟΥ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.670505, 21.346671"
28,"2,5 ΧΛΜ Ε.Ο. ΙΩΑΝΝΙΝΩΝ ΑΝΤΙΡΡΙΟΥ",38.3377605,21.7456106,ROOFTOP,Δ.Δ.Αντιρρίου,ΔΗΜΟΣ ΑΝΤΙΡΡΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 28
Location Type: ROOFTOP
Address: 2,5 ΧΛΜ Ε.Ο. ΙΩΑΝΝΙΝΩΝ ΑΝΤΙΡΡΙΟΥ
Municipality: ΔΗΜΟΣ ΑΝΤΙΡΡΙΟΥ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.337761, 21.745611"
31,4ο ΧΛΜ ΕΟ ΑΓΡΙΝΙΟΥ ΘΕΡΜΟΥ,38.6085411,21.4490213,ROOFTOP,Δ.Δ.Νέας Αβόρανης,ΔΗΜΟΣ ΘΕΣΤΙΕΩΝ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 31
Location Type: ROOFTOP
Address: 4ο ΧΛΜ ΕΟ ΑΓΡΙΝΙΟΥ ΘΕΡΜΟΥ
Municipality: ΔΗΜΟΣ ΘΕΣΤΙΕΩΝ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.608541, 21.449021"
36,"5ο ΧΛΜ. ΝΑΥΠΑΚΤΟΥ-ΘΕΡΜΟΥ, ΝΑΥΠΑΚΤΟΣ",38.4034605,21.7854738,ROOFTOP,Δ.Δ.Αφροξυλιάς,ΔΗΜΟΣ ΝΑΥΠΑΚΤΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 36
Location Type: ROOFTOP
Address: 5ο ΧΛΜ. ΝΑΥΠΑΚΤΟΥ-ΘΕΡΜΟΥ, ΝΑΥΠΑΚΤΟΣ
Municipality: ΔΗΜΟΣ ΝΑΥΠΑΚΤΟΥ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.403461, 21.785474"
38,6χλμ Ε.Ο. ΑΓΡΙΝΙΟΥ-ΙΩΑΝΝΙΝΩΝ,38.6703942,21.3609073,ROOFTOP,Δ.Δ.Νεάπολης,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 38
Location Type: ROOFTOP
Address: 6χλμ Ε.Ο. ΑΓΡΙΝΙΟΥ-ΙΩΑΝΝΙΝΩΝ
Municipality: ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.670394, 21.360907"
41,12 ΧΛΜ ΕΟ ΑΓΡΙΝΙΟΥ - ΑΜΦΙΛΟΧΙΑΣ,38.6685456,21.3006437,ROOFTOP,Δ.Δ.Στράτου,ΔΗΜΟΣ ΣΤΡΑΤΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,green,small,"Station ID: 41
Location Type: ROOFTOP
Address: 12 ΧΛΜ ΕΟ ΑΓΡΙΝΙΟΥ - ΑΜΦΙΛΟΧΙΑΣ
Municipality: ΔΗΜΟΣ ΣΤΡΑΤΟΥ
County: ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
Coordinates: 38.668546, 21.300644"
47,6 χιλ. Ε.Ο.  ΛΙΒΑΔΕΙΑΣ-ΘΗΒΑΣ,38.4095194,22.9593812,ROOFTOP,Δ.Δ.Λεβαδέων,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 47
Location Type: ROOFTOP
Address: 6 χιλ. Ε.Ο.  ΛΙΒΑΔΕΙΑΣ-ΘΗΒΑΣ
Municipality: ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.409519, 22.959381"
48,4 χλμ Λιβαδειάς-Δελφών,38.4411738,22.8330525,ROOFTOP,Δ.Δ.Λεβαδέων,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 48
Location Type: ROOFTOP
Address: 4 χλμ Λιβαδειάς-Δελφών
Municipality: ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.441174, 22.833053"
49,1ο ΧΛΜ ΛΙΒΑΔΕΙΑΣ-ΛΑΜΙΑΣ,38.4510602,22.8818195,ROOFTOP,Δ.Δ.Λεβαδέων,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 49
Location Type: ROOFTOP
Address: 1ο ΧΛΜ ΛΙΒΑΔΕΙΑΣ-ΛΑΜΙΑΣ
Municipality: ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.451060, 22.881819"
50,3ο χλμ ΕΟ Λιβαδειάς-Λαμίας,38.458562,22.8974956,ROOFTOP,Δ.Δ.Λεβαδέων,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,green,small,"Station ID: 50
Location Type: ROOFTOP
Address: 3ο χλμ ΕΟ Λιβαδειάς-Λαμίας
Municipality: ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
County: ΒΟΙΩΤΙΑΣ
Coordinates: 38.458562, 22.897496"
